Scale_setup.started,Scale_setup.stopped,participant,session,sex,age,date,expName,psychopyVersion,OS,frameRate,Intro.started,Intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,block.started,direction,Block_id,block.stopped,trial_direction,Block_resp_2.keys,Block_resp_2.rt,Block_resp_2.duration,ITI.started,ITI.stopped,Mask_2.started,Mask_2.stopped,encoding.started,encoding.stopped,Cue.started,Cue.stopped,Response.started,Response.stopped,keyDuration,Feedback_Time.started,FeedbackID_T,Feedback_Time.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TimeDur,Coherence1,TrialType
0.0002999999970256795,0.0006000000014978468,933331,001,女,20,2025-06-04_21h31.12.969,Serial_Dependence_U,2023.2.3,Win32,60.60606060606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,933331,001,女,20,2025-06-04_21h31.12.969,Serial_Dependence_U,2023.2.3,Win32,60.60606060606061,556.8781000000015,1032.339,space,475.40750000000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,933331,001,女,20,2025-06-04_21h31.12.969,Serial_Dependence_U,2023.2.3,Win32,60.60606060606061,,,,,,1032.3741999999954,86,0,1037.0396999999955,86,s,4.637700000002951,,1040.8311999999955,1041.3286999999955,1040.329299999997,1040.8308999999986,1038.051,1040.3291999999956,1041.3295,1041.829,1041.8298999999986,1047.6236999999956,332,1047.6246000000015,1,1048.6208999999985,0,0,0,2,1,1.2,0.3,Time
,,933331,001,女,20,2025-06-04_21h31.12.969,Serial_Dependence_U,2023.2.3,Win32,60.60606060606061,,,,,,1048.6226000000015,78,0,1048.6258999999984,78,,,,1052.6086000000014,1053.0995,1052.0938999999985,1052.6083999999985,1049.6295,1052.0936999999956,1053.0996000000016,1053.5985,1053.5986000000014,1057.612299999997,834,1057.6126000000015,1,1058.6106999999956,0,1,1,13,1,1.4,0.3,Time
,,933331,001,女,20,2025-06-04_21h31.12.969,Serial_Dependence_U,2023.2.3,Win32,60.60606060606061,,,,,,1058.612,285,0,1058.6125,285,,,,1061.9745,1062.473299999997,1061.458799999997,1061.9743999999985,1059.6116999999956,1061.4586999999956,1062.4735,1062.9725,1062.9725,1066.8045,2783,1066.804799999997,5,1067.8013999999985,0,2,2,15,1,0.8,0.7,Time
,,933331,001,女,20,2025-06-04_21h31.12.969,Serial_Dependence_U,2023.2.3,Win32,60.60606060606061,,,,,,1067.8025,280,0,1067.8031999999955,280,,,,1071.3986999999956,1071.8976000000016,1070.8826000000015,1071.3985,1068.8181999999956,1070.8823999999986,1071.8976999999954,1072.3971999999956,1072.3972999999971,1075.386299999997,1116,1075.3863999999985,4,1076.376299999997,0,3,3,21,1,1,0.3,Time
,,933331,001,女,20,2025-06-04_21h31.12.969,Serial_Dependence_U,2023.2.3,Win32,60.60606060606061,,,,,,1076.3771000000015,107,0,1076.3775,107,,,,1080.5738999999985,1081.0718999999985,1080.057299999997,1080.5736999999956,1077.3945,1080.057299999997,1081.072,1081.5711000000015,1081.5711000000015,1087.017299999997,3397,1087.0175,5,1088.015299999997,0,4,4,24,1,1.6,0.3,Time
,,933331,001,女,20,2025-06-04_21h31.12.969,Serial_Dependence_U,2023.2.3,Win32,60.60606060606061,,,,,,1088.0165,289,0,1088.0171999999955,289,,,,1091.803299999997,1092.294299999997,1091.289299999997,1091.8031999999955,1089.0233999999984,1091.2891000000016,1092.2943999999984,1092.793299999997,1092.793299999997,1095.1503999999984,1898,1095.1505,5,1096.140299999997,0,5,5,12,1,1.2,0.3,Time
,,933331,001,女,20,2025-06-04_21h31.12.969,Serial_Dependence_U,2023.2.3,Win32,60.60606060606061,,,,,,1096.1411999999955,321,0,1096.142,321,,,,1099.504799999997,1100.0033999999985,1098.988299999997,1099.5046999999956,1097.150299999997,1098.9881999999955,1100.0035,1100.5048999999985,1100.505,1101.7967999999971,1033,1101.7968999999985,4,1102.800799999997,0,6,6,5,1,0.8,0.7,Time
,,933331,001,女,20,2025-06-04_21h31.12.969,Serial_Dependence_U,2023.2.3,Win32,60.60606060606061,,,,,,1102.802,161,0,1102.8026999999956,161,,,,1106.1891000000014,1106.680299999997,1105.6745,1106.189,1103.8096999999955,1105.674299999997,1106.6806000000015,1107.1856000000014,1107.1856000000014,1108.7041000000015,1149,1108.704299999997,5,1109.693799999997,0,7,7,20,1,0.8,0.3,Time
,,933331,001,女,20,2025-06-04_21h31.12.969,Serial_Dependence_U,2023.2.3,Win32,60.60606060606061,,,,,,1109.6951000000015,343,0,1109.6956999999954,343,,,,1113.6816999999955,1114.1728999999984,1113.1681999999955,1113.6816000000015,1110.7013999999986,1113.168,1114.1728999999984,1114.6718999999985,1114.672,1116.1133999999986,1282,1116.1135,2,1117.102799999997,0,8,8,3,1,1.4,0.3,Time
,,933331,001,女,20,2025-06-04_21h31.12.969,Serial_Dependence_U,2023.2.3,Win32,60.60606060606061,,,,,,1117.1036000000015,347,0,1117.104299999997,347,,,,1120.6766999999954,1121.165799999997,1120.1751999999956,1120.6765,1118.1106999999956,1120.1751999999956,1121.1658999999986,1121.6651999999956,1121.6653999999985,1123.8591000000015,1799,1123.8591999999956,5,1124.861799999997,0,9,9,1,1,1,0.3,Time
,,933331,001,女,20,2025-06-04_21h31.12.969,Serial_Dependence_U,2023.2.3,Win32,60.60606060606061,,,,,,1124.8625,196,0,1124.862799999997,196,,,,1128.4425,1128.9416000000015,1127.927799999997,1128.4423999999985,1125.879,1127.9276999999956,1128.941799999997,1129.4406999999956,1129.4407999999971,1132.1721000000016,2447,1132.172299999997,5,1133.1708999999985,0,10,10,16,1,1,0.7,Time
,,933331,001,女,20,2025-06-04_21h31.12.969,Serial_Dependence_U,2023.2.3,Win32,60.60606060606061,,,,,,1133.1718999999985,169,0,1133.1726000000015,169,,,,1136.7681000000016,1137.266799999997,1136.251799999997,1136.768,1134.1868999999986,1136.2516999999955,1137.2668999999985,1137.765799999997,1137.7658999999985,1139.5323999999985,996,1139.5323999999985,3,1140.5301999999956,0,11,11,11,1,1,0.3,Time
,,933331,001,女,20,2025-06-04_21h31.12.969,Serial_Dependence_U,2023.2.3,Win32,60.60606060606061,,,,,,1140.5306999999955,48,0,1140.531,48,,,,1144.5355,1145.026299999997,1144.0211999999956,1144.5353999999986,1141.5551999999955,1144.021,1145.0263999999986,1145.5322999999971,1145.5323999999985,1147.2996000000014,1298,1147.2996000000014,2,1148.2891000000016,0,12,12,23,1,1.4,0.3,Time
,,933331,001,女,20,2025-06-04_21h31.12.969,Serial_Dependence_U,2023.2.3,Win32,60.60606060606061,,,,,,1148.2901999999956,212,0,1148.2908999999986,212,,,,1152.452299999997,1152.9515,1151.9362999999971,1152.4521000000016,1149.2903999999985,1151.9361999999956,1152.9516000000015,1153.4503999999986,1153.4503999999986,1155.5998999999986,1582,1155.6001000000015,3,1156.597799999997,0,13,13,19,1,1.6,0.7,Time
,,933331,001,女,20,2025-06-04_21h31.12.969,Serial_Dependence_U,2023.2.3,Win32,60.60606060606061,,,,,,1156.599,106,0,1156.599799999997,106,,,,1160.3795,1160.876299999997,1159.8625,1160.379299999997,1157.6151999999956,1159.862299999997,1160.8763999999985,1161.3766000000014,1161.3766999999955,1162.8196999999955,1233,1162.819799999997,3,1163.8241999999955,0,14,14,27,1,1.2,0.7,Time
,,933331,001,女,20,2025-06-04_21h31.12.969,Serial_Dependence_U,2023.2.3,Win32,60.60606060606061,,,,,,1163.8248999999985,148,0,1163.825299999997,148,,,,1168.0053999999984,1168.5028999999986,1167.4881000000014,1168.005,1164.825299999997,1167.488,1168.503,1169.0016999999955,1169.001799999997,1169.8023999999984,314,1169.8025,1,1170.8003999999985,0,15,15,4,1,1.6,0.3,Time
,,933331,001,女,20,2025-06-04_21h31.12.969,Serial_Dependence_U,2023.2.3,Win32,60.60606060606061,,,,,,1170.8016000000016,11,0,1170.802299999997,11,,,,1174.5726000000016,1175.0628999999985,1174.0566000000015,1174.5725,1171.8081999999956,1174.0565,1175.0628999999985,1175.562299999997,1175.5625,1177.2531999999956,1349,1177.2531999999956,4,1178.2431000000015,0,16,16,17,1,1.2,0.7,Time
,,933331,001,女,20,2025-06-04_21h31.12.969,Serial_Dependence_U,2023.2.3,Win32,60.60606060606061,,,,,,1178.2441999999955,36,0,1178.2448999999986,36,,,,1181.601,1182.0895,1181.0995,1181.600799999997,1179.2526999999955,1181.0993999999985,1182.0896000000014,1182.5883999999985,1182.5885,1184.3308999999986,1117,1184.331,5,1185.3191000000015,0,17,17,25,1,0.8,0.7,Time
,,933331,001,女,20,2025-06-04_21h31.12.969,Serial_Dependence_U,2023.2.3,Win32,60.60606060606061,,,,,,1185.3196999999955,45,0,1185.3201000000015,45,,,,1189.490799999997,1189.9816000000014,1188.9761000000015,1189.4906000000015,1186.328,1188.976,1189.9816999999955,1190.4811000000016,1190.4811000000016,1194.703299999997,3762,1194.7033999999985,5,1195.6928999999984,0,18,18,9,1,1.6,0.7,Time
,,933331,001,女,20,2025-06-04_21h31.12.969,Serial_Dependence_U,2023.2.3,Win32,60.60606060606061,,,,,,1195.6935,280,0,1195.6938999999986,280,,,,1199.6486000000016,1200.1383999999985,1199.1333999999986,1199.6483999999984,1196.7005,1199.1331000000016,1200.1385,1200.6378999999986,1200.6381000000015,1202.9281000000015,1248,1202.9283999999984,2,1203.918299999997,0,19,19,28,1,1.4,0.7,Time
,,933331,001,女,20,2025-06-04_21h31.12.969,Serial_Dependence_U,2023.2.3,Win32,60.60606060606061,,,,,,1203.9193999999984,135,0,1203.9201000000014,135,,,,1207.4995,1207.9971000000014,1206.984,1207.499299999997,1204.9345,1206.983799999997,1207.9971999999955,1208.4966999999956,1208.496799999997,1209.512799999997,666,1209.5128999999986,1,1210.510799999997,0,20,20,26,1,1,0.7,Time
,,933331,001,女,20,2025-06-04_21h31.12.969,Serial_Dependence_U,2023.2.3,Win32,60.60606060606061,,,,,,1210.511299999997,88,0,1210.5116000000014,88,,,,1213.9021999999954,1214.3916999999956,1213.3838999999984,1213.9021000000014,1211.512799999997,1213.383799999997,1214.391799999997,1214.881,1214.8811000000014,1217.947299999997,1747,1217.9473999999984,5,1218.9363999999985,0,21,21,0,1,0.8,0.3,Time
,,933331,001,女,20,2025-06-04_21h31.12.969,Serial_Dependence_U,2023.2.3,Win32,60.60606060606061,,,,,,1218.937299999997,42,0,1218.9378999999985,42,,,,1222.9,1223.3986999999956,1222.3841000000016,1222.8998999999985,1219.938299999997,1222.384,1223.398799999997,1223.8983999999984,1223.8986000000016,1227.804299999997,1348,1227.8045,3,1228.7931999999955,0,22,22,18,1,1.4,0.7,Time
